"","x"
"640",2
"641",25
"642",6
"643",25
"644",25
"645",2
"646",3
"647",25
"648",3
"649",2
"650",25
"651",25
"652",10
"653",3
"654",25
"655",25
"656",8
"657",25
"658",25
"659",19
"660",25
"661",2
"662",25
"663",1
"664",3
"665",5
"666",3
"667",1
"668",4
"669",22
"670",2
"671",2
"672",22
"673",21
"674",25
"675",19
"676",25
"677",1
"678",3
"679",3
"680",25
"681",17
"682",1
"683",25
"684",25
"685",25
"686",3
"687",20
"688",2
"689",17
"690",25
"691",25
"692",25
"693",3
"694",21
"695",2
"696",3
"697",2
"698",25
"699",2
"700",20
"701",24
"702",2
"703",24
"704",2
"705",25
"706",25
"707",25
"708",2
"709",15
"710",25
"711",25
"712",4
"713",25
"714",3
"715",2
"716",21
"717",25
"718",2
"719",25
"720",10
"721",7
"722",6
"723",1
"724",25
"725",18
"726",15
"727",25
"728",25
"729",2
"730",25
"731",25
"732",24
"733",25
"734",25
"735",1
"736",2
"737",19
"738",20
"739",25
"740",22
"741",25
"742",24
"743",12
"744",2
"745",25
"746",4
"747",21
"748",18
"749",25
"750",24
"751",2
"752",25
"753",15
"754",24
"755",25
"756",3
"757",19
"758",25
"759",25
"760",4
"761",25
"762",17
"763",19
"764",2
"765",1
"766",2
"767",25
"768",24
"769",22
"770",25
"771",24
"772",11
"773",25
"774",15
"775",2
"776",25
"777",25
"778",24
"779",3
"780",25
"781",23
"782",15
"783",2
"784",23
"785",2
"786",25
"787",18
"788",24
"789",25
"790",19
"791",2
"792",3
"793",2
"794",21
"795",2
"796",24
"797",19
"798",25
"799",25
"800",25
"801",25
"802",20
"803",3
"804",25
"805",2
"806",3
"807",3
"808",2
"809",25
"810",25
"811",2
"812",3
"813",24
"814",25
"815",20
"816",12
"817",2
"818",8
"819",25
"820",2
"821",25
"822",25
"823",8
"824",25
"825",3
"826",9
"827",1
"828",3
"829",19
"830",2
"831",25
"832",4
"833",24
"834",25
"835",25
"836",20
"837",24
"838",25
"839",3
"840",4
"841",25
"842",1
"843",25
"844",3
"845",2
"846",2
"847",24
"848",25
"849",25
"850",3
"851",22
"852",3
"853",25
"854",25
"855",2
"856",3
"857",2
"858",2
"859",2
"860",25
"861",18
"862",5
"863",6
"864",2
"865",3
"866",6
"867",5
"868",24
"869",25
"870",20
"871",12
"872",2
"873",14
"874",25
"875",16
"876",3
"877",3
"878",15
"879",15
"880",25
"881",25
"882",18
"883",24
"884",2
"885",25
"886",2
"887",25
"888",25
"889",25
"890",25
"891",24
"892",16
"893",9
"894",15
"895",17
"896",2
"897",25
"898",25
"899",25
"900",25
"901",24
"902",15
"903",24
"904",3
"905",15
"906",2
"907",2
"908",14
"909",2
"910",25
"911",25
"912",9
"913",25
"914",2
"915",25
"916",25
"917",2
"918",25
"919",15
"920",1
"921",24
"922",25
"923",2
"924",2
"925",3
"926",3
"927",25
"928",25
"929",15
"930",25
"931",25
"932",1
"933",2
"934",25
"935",4
"936",2
"937",25
"938",25
"939",21
"940",19
"941",22
"942",25
"943",1
"944",25
"945",2
"946",2
"947",25
"948",25
"949",25
"950",18
"951",25
"952",2
"953",25
"954",2
"955",18
"956",19
"957",2
"958",25
"959",9
"960",3
"961",24
"962",25
"963",25
"964",25
"965",1
"966",1
"967",19
"968",16
"969",25
"970",3
"971",15
"972",10
"973",25
"974",2
"975",18
"976",3
"977",25
"978",24
"979",25
"980",24
"981",2
"982",1
"983",25
"984",25
"985",5
"986",19
"987",15
"988",25
"989",24
"990",18
"991",24
"992",25
"993",3
"994",25
"995",3
"996",16
"997",21
"998",25
"999",25
"1000",25
"1001",25
"1002",20
"1003",3
"1004",3
"1005",25
"1006",2
"1007",2
"1008",25
"1009",25
"1010",12
"1011",16
"1012",2
"1013",24
"1014",3
"1015",17
"1016",25
"1017",2
"1018",25
"1019",2
"1020",25
"1021",3
"1022",19
"1023",25
"1024",25
"1025",24
"1026",2
"1027",9
"1028",1
"1029",25
"1030",24
"1031",3
"1032",25
"1033",2
"1034",2
"1035",25
"1036",25
"1037",25
"1038",25
"1039",24
"1040",15
"1041",25
"1042",24
"1043",19
"1044",25
"1045",25
"1046",2
"1047",25
"1048",1
"1049",25
"1050",22
"1051",24
"1052",15
"1053",17
"1054",3
"1055",2
"1056",12
"1057",25
"1058",24
"1059",20
"1060",2
"1061",25
"1062",2
"1063",19
"1064",4
"1065",25
"1066",18
"1067",12
"1068",2
"1069",3
"1070",19
"1071",2
"1072",25
"1073",3
"1074",20
"1075",2
"1076",2
"1077",24
"1078",25
"1079",3
"1080",19
"1081",19
"1082",14
"1083",19
"1084",3
"1085",24
"1086",24
"1087",3
"1088",17
"1089",4
"1090",20
"1091",21
"1092",2
"1093",2
"1094",3
"1095",25
"1096",9
"1097",8
"1098",23
"1099",25
"1100",25
"1101",22
"1102",24
"1103",3
"1104",16
"1105",25
"1106",25
"1107",20
"1108",25
"1109",2
"1110",2
"1111",25
"1112",25
"1113",25
"1114",25
"1115",18
"1116",19
"1117",16
"1118",3
"1119",2
"1120",25
"1121",25
"1122",14
"1123",2
"1124",25
"1125",25
"1126",3
"1127",24
"1128",25
"1129",3
"1130",3
"1131",25
"1132",2
"1133",1
"1134",25
"1135",3
"1136",17
"1137",19
"1138",25
"1139",25
