"","assig.vecU","assig.vecC","assig.vecAr","assig.vecAm","assig.vecT"
"244",2,9,21,6,3
"245",9,11,11,20,13
"246",2,23,21,8,17
"247",9,19,24,4,5
"248",2,20,20,3,24
"249",3,10,3,3,12
"250",9,9,1,8,16
"251",2,15,16,1,3
"252",3,3,3,20,8
"253",2,16,16,16,20
"254",3,3,10,11,4
"255",18,16,9,22,16
"256",18,8,14,24,14
"257",10,6,6,4,4
"258",18,8,8,11,1
"259",9,11,4,11,3
"260",2,2,2,22,14
"261",21,6,3,14,3
"262",2,14,14,23,14
"263",18,8,9,8,24
"264",2,20,21,1,5
"265",2,20,21,4,7
"266",2,5,5,1,24
"267",18,17,20,23,22
"268",2,6,5,24,5
"269",20,11,15,10,14
"270",20,13,20,17,6
"271",2,4,4,4,22
"272",20,20,14,1,9
"273",2,6,2,20,3
"274",7,9,20,12,25
"275",1,8,1,12,22
"276",10,6,14,24,15
"277",2,20,16,21,8
"278",18,22,14,9,14
"279",21,10,6,10,20
"280",21,21,10,3,8
"281",4,4,6,1,4
"282",18,20,20,2,3
"283",18,6,9,18,14
"284",2,15,20,6,24
"285",18,23,3,20,20
"286",7,15,5,22,6
"287",2,11,4,4,6
"288",2,20,22,22,21
"289",2,23,21,3,25
"290",18,18,9,21,1
"291",2,23,22,1,16
"292",20,20,20,12,21
"293",2,21,16,13,23
"294",15,15,15,23,3
"295",3,3,22,5,3
"296",7,6,6,3,12
"297",2,6,4,4,24
"298",3,3,3,20,9
"299",2,7,6,20,11
"300",3,3,5,8,14
"301",18,6,6,17,13
"302",2,21,16,2,3
"303",15,24,11,20,14
"304",18,14,14,22,5
"305",18,18,10,9,24
"306",18,16,4,8,3
"307",2,21,16,25,6
"308",18,4,9,3,9
"309",9,6,6,17,14
"310",2,10,3,20,8
"311",7,14,20,23,3
"312",20,22,20,4,3
"313",18,3,14,3,5
"314",18,19,20,17,16
"315",18,10,10,17,11
"316",3,3,3,1,5
"317",18,16,16,18,9
"318",12,8,1,24,9
"319",1,5,1,7,14
"320",18,19,9,1,24
"321",2,8,8,6,15
"322",10,10,22,19,24
"323",9,4,9,1,20
"324",2,21,21,6,7
"325",2,14,14,23,4
"326",2,5,3,22,2
"327",3,3,3,17,6
"328",2,3,3,9,3
"329",2,20,20,3,16
"330",2,15,15,22,24
"331",20,15,15,5,23
"332",9,3,14,4,15
"333",2,14,14,22,12
"334",2,15,23,11,25
"335",18,10,20,17,5
"336",2,3,3,5,12
"337",18,17,17,16,13
"338",2,4,15,17,17
"339",18,19,19,5,17
"340",25,16,10,18,1
"341",20,14,14,24,1
"342",18,18,17,1,3
"343",18,14,3,14,16
"344",20,11,11,4,1
"345",2,7,6,4,1
"346",18,18,9,2,19
"347",18,20,20,1,18
"348",1,1,5,21,17
"349",9,1,9,9,8
"350",10,10,3,13,3
"351",2,6,3,1,10
"352",18,5,5,8,21
"353",9,1,24,15,6
"354",18,6,6,21,12
"355",2,15,9,3,24
"356",2,3,3,10,8
"357",18,18,9,10,5
"358",2,24,14,20,15
"359",2,14,22,4,21
"360",20,14,20,2,15
"361",18,6,3,2,23
"362",10,10,3,14,3
"363",7,16,22,23,9
"364",21,21,4,7,3
"365",4,4,9,5,1
"366",2,4,4,1,4
"367",18,10,3,20,16
"368",18,1,1,18,1
"369",2,2,21,4,15
"370",2,5,14,17,3
"371",7,14,3,16,16
"372",3,3,3,11,3
"373",10,3,3,8,25
"374",2,25,25,10,25
"375",10,10,10,5,6
"376",18,21,10,24,3
"377",21,21,21,10,6
"378",3,3,3,23,21
"379",2,11,15,20,25
"380",2,3,3,3,3
"381",2,3,9,4,17
"382",2,3,3,3,5
"383",18,18,9,17,22
"384",2,1,1,11,1
"385",15,17,8,1,8
"386",18,3,3,20,24
"387",7,16,22,15,6
"388",18,1,17,17,17
"389",18,23,5,17,7
"390",2,21,21,11,24
"391",18,11,8,20,12
"392",2,2,9,6,14
"393",2,12,16,11,16
"394",7,11,11,3,6
"395",2,20,20,2,22
"396",7,15,23,12,3
"397",2,20,21,25,13
"398",9,4,9,8,4
"399",10,10,10,16,3
"400",3,7,6,9,20
